PE,6M return,1Y return,2Y return,3Y return,5Y return,Predict,Month
 29.49 ,20.2%,11.1%,11.3%,13.5%,10.5%,-22.1%,19-May
 29.90 ,23.8%,12.8%,12.7%,13.4%,9.7%,-18.7%,19-Jun
 29.17 ,20.0%,4.5%,8.5%,11.2%,9.0%,-12.1%,19-Jul
 27.05 ,3.5%,-6.0%,5.2%,7.7%,6.7%,-0.8%,19-Aug
 26.54 ,-13.7%,-1.2%,5.0%,7.8%,6.3%,6.2%,19-Sep
 26.17 ,-6.5%,9.4%,4.8%,9.6%,6.4%,0.5%,19-Oct
 27.47 ,-0.5%,9.3%,7.8%,13.1%,6.7%,-1.9%,19-Nov
 28.08 ,-0.7%,10.9%,7.0%,13.8%,7.8%,8.8%,19-Dec
28.33,5.4%,12.5%,5.1%,12.5%,6.7%,15.1%,Jan-20
25.75,12.8%,8.1%,5.4%,9.5%,5.5%,22.5%,Feb-20
25.34,6.3%,-4.2%,4.9%,6.7%,5.6%,32.6%,Mar-20
33.6,69.6%,80.1%,12.5%,11.5%,13.6%,18.9%,Apr-21
31.54,57.3%,57.5%,10.8%,10.9%,12.4%,16.6%,May-21
28.87,41.2%,58.5%,13.5%,13.3%,13.4%,6.1%,Jun-21
28.26,25.1%,50.3%,15.0%,11.4%,12.7%,0.5%,Jul-21
27.21,23.7%,45.8%,20.3%,10.8%,12.6%,9.2%,Aug-21
26.17,33.8%,48.9%,25.8%,16.0%,14.7%,2.7%,Sep-21
26.84,39.1%,53.6%,24.2%,19.1%,15.2%,-3.7%,Oct-21
26.07,50.1%,53.7%,22.8%,18.1%,16.9%,1.2%,Nov-21
23.68,21.5%,31.0%,19.4%,16.5%,16.0%,9.6%,Dec-21
24.49,26.4%,25.7%,20.3%,17.6%,15.5%,3.2%,Jan-22
23.62,22.4%,23.1%,22.8%,17.7%,14.6%,0.2%,Feb-22
21.35,-5.4%,12.5%,22.1%,12.6%,12.6%,5.1%,Mar-22
23.19,1.6%,18.9%,46.3%,14.6%,13.7%,-1.5%,Apr-22
21.87,-9.4%,16.6%,35.5%,12.7%,12.1%,6.3%,May-22
20.45,-7.4%,6.1%,29.7%,11.0%,11.7%,11.9%,Jun-22
19.46,-20.1%,0.5%,22.9%,9.9%,9.3%,22.7%,Jul-22
20.9,-2.7%,9.2%,26.2%,16.5%,11.8%,13.8%,Aug-22
20.94,11.6%,2.7%,23.7%,17.6%,12.4%,10.8%,Sep-22
20.39,-8.7%,-3.7%,21.6%,14.1%,10.3%,15.6%,Oct-22
21.98,13.0%,1.2%,24.7%,15.1%,12.2%,4.6%,Nov-22
22.61,29.6%,9.6%,19.8%,16.0%,12.3%,7.7%,Dec-22
21.9,33.5%,3.2%,13.9%,14.3%,10.5%,19.5%,Jan-23
20.68,3.2%,0.2%,11.1%,14.7%,10.9%,23.2%,Feb-23
20.56,-1.0%,5.1%,8.7%,16.2%,11.5%,28.0%,Mar-23
20.48,6.1%,-1.5%,8.2%,28.2%,10.1%,29.1%,Apr-23
20.92,0.0%,6.3%,11.4%,25.0%,11.1%,24.8%,May-23
21.53,-3.4%,11.9%,9.0%,23.5%,11.5%,25.8%,Jun-23
22.51,12.7%,22.7%,11.0%,22.8%,11.2%,24.9%,Jul-23
22.96,25.5%,13.8%,11.5%,21.9%,11.1%,26.7%,Aug-23
22.17,24.0%,10.8%,6.7%,19.2%,12.2%,30.1%,Sep-23
22.09,26.0%,15.6%,5.5%,19.6%,13.5%,32.1%,Oct-23
20.4,9.5%,4.6%,2.9%,17.6%,11.8%,28.0%,Nov-23
21.66,20.2%,7.7%,8.7%,15.6%,13.3%,19.8%,Dec-23
23.18,26.6%,19.5%,11.1%,15.8%,15.0%,,Jan-24
22.38,20.9%,23.2%,11.1%,15.0%,15.0%,,Feb-24
23.06,32.1%,28.0%,16.0%,14.8%,14.0%,,Mar-24
23.02,32.3%,29.1%,12.7%,14.7%,13.8%,,Apr-24
22.03,42.3%,24.8%,15.2%,15.7%,13.7%,,May-24
22.13,31.7%,25.8%,18.7%,14.3%,14.0%,,Jun-24
22.97,23.3%,24.9%,23.8%,15.5%,15.3%,,Jul-24
23.45,32.9%,26.7%,20.1%,16.3%,17.9%,,Aug-24
23.51,28.1%,30.1%,20.0%,14.0%,18.5%,,Sep-24
24.25,31.9%,32.1%,23.6%,13.7%,17.8%,,Oct-24
22.68,15.2%,28.0%,15.7%,10.7%,15.4%,,Nov-24
22.35,8.9%,19.8%,13.6%,12.2%,15.0%,,Dec-24
